item_code,item_name,unit,conv_fac
1,Dry bean,1,1000
1,Dry bean,2,1000
1,Dry bean,3,
1,Dry bean,4,
2,Fresh bean,1,1000
2,Fresh bean,2,1000
2,Fresh bean,3,
2,Fresh bean,4,
3,String bean,1,1000
3,String bean,2,1000
3,String bean,3,
3,String bean,4,
4,Groundnut flour,1,1000
4,Groundnut flour,2,1000
4,Groundnut flour,3,
4,Groundnut flour,4,80
5,Irish potato,1,1000
5,Irish potato,2,1000
5,Irish potato,3,174
5,Irish potato,4,174
6,Sweet potato,1,1000
6,Sweet potato,2,1000
6,Sweet potato,3,146.5
6,Sweet potato,4,146.5
7,Cassava (root),1,1000
7,Cassava (root),2,1000
7,Cassava (root),3,324.993
7,Cassava (root),4,324.993
8,Tarot/amateke,1,1000
8,Tarot/amateke,2,1000
8,Tarot/amateke,3,
8,Tarot/amateke,4,
9,Banana-cooking (Inyamunyo),1,1000
9,Banana-cooking (Inyamunyo),2,1000
9,Banana-cooking (Inyamunyo),3,258.47
9,Banana-cooking (Inyamunyo),4,258.47
10,Corn (flour from Mill),1,1000
10,Corn (flour from Mill),2,1000
10,Corn (flour from Mill),3,
10,Corn (flour from Mill),4,
11,Corn (flour from Factory),1,1000
11,Corn (flour from Factory),2,1000
11,Corn (flour from Factory),3,
11,Corn (flour from Factory),4,
12,Cassava flour (yasekuwe),1,1000
12,Cassava flour (yasekuwe),2,1000
12,Cassava flour (yasekuwe),3,
12,Cassava flour (yasekuwe),4,
13,Cassava (fermented),1,1000
13,Cassava (fermented),2,1000
13,Cassava (fermented),3,
13,Cassava (fermented),4,
14,Cassava from Mill),1,1000
14,Cassava from Mill),2,1000
14,Cassava from Mill),3,
14,Cassava from Mill),4,
15,Cassava from Factory),1,1000
15,Cassava from Factory),2,1000
15,Cassava from Factory),3,
15,Cassava from Factory),4,
16,Local rice,1,1000
16,Local rice,2,1000
16,Local rice,3,
16,Local rice,4,
17,Imported rice,1,1000
17,Imported rice,2,1000
17,Imported rice,3,
17,Imported rice,4,
18,Maize (fresh),1,1000
18,Maize (fresh),2,1000
18,Maize (fresh),3,351.3027667
18,Maize (fresh),4,351.3027667
19,Dry maize (grain),1,1000
19,Dry maize (grain),2,1000
19,Dry maize (grain),3,
19,Dry maize (grain),4,
20,Tomato,1,1000
20,Tomato,2,1000
20,Tomato,3,118.1919333
20,Tomato,4,118.1919333
21,Fresh milk,1,1000
21,Fresh milk,2,1000
21,Fresh milk,3,
21,Fresh milk,4,1000
22,Curdled Milk,1,1000
22,Curdled Milk,2,1000
22,Curdled Milk,3,
22,Curdled Milk,4,
23,Cakes/Chapati/Mandazi,1,1000
23,Cakes/Chapati/Mandazi,2,1000
23,Cakes/Chapati/Mandazi,3,44.60883333
23,Cakes/Chapati/Mandazi,4,178.4353333
24,Bread,1,1000
24,Bread,2,1000
24,Bread,3,524.9291333
24,Bread,4,524.9291333
