item_code,item_name,edible_portion,assumption_source
1,Dry bean,0.99,tza_npsw5
2,Fresh bean,0.99,tza_npsw5
3,String bean,0.99,tza_npsw5
4,Groundnut flour,1,mwi_ihs4
5,Irish potato,0.95,mwi_ihs4
6,Sweet potato,0.88,tza_npsw5
7,Cassava (root),0.94,tza_npsw5
8,Tarot/amateke,0.81,tza_npsw5
9,Banana-cooking (Inyamunyo),0.85,mwi_ihs4
10,Corn (flour from Mill),1,tza_npsw5
11,Corn (flour from Factory),1,tza_npsw5
12,Cassava flour (yasekuwe),1,tza_npsw5
13,Cassava (fermented),1,tza_npsw5
14,Cassava from Mill),1,tza_npsw5
15,Cassava from Factory),1,tza_npsw5
16,Local rice,1,tza_npsw5
17,Imported rice,1,tza_npsw5
18,Maize (fresh),0.68,tza_npsw5
19,Dry maize (grain),1,tza_npsw5
20,Tomato,1,mwi_ihs4
21,Fresh milk,1,mwi_ihs4
22,Curdled Milk,1,mwi_ihs4
23,Cakes/Chapati/Mandazi,1,tza_npsw5
24,Bread,1,tza_npsw5
25,Sugar (imported),1,tza_npsw5
26,Sugar (local),1,tza_npsw5
27,Salt,1,tza_npsw5
28,Local banana beer,1,assumed
29,Sorghum juice(Ubushera),1,assumed
30,Local sorghum beer(ikigage),1,assumed
31,Peanut oil,1,tza_npsw5
32,Margarine,1,mwi_ihs4
33,Palm oil,1,tza_npsw5
34,Other plant oils,1,tza_npsw5
35,Lard of pork,1,tza_npsw5
36,Beef meat,0.91,tza_npsw5
37,Sheep /Mutton / lamb meat,0.9,assumed
38,Goat meat,0.9,mwi_ihs4
39,Pork meat,0.9,mwi_ihs4
40,Rabbit Meat,0.9,mwi_ihs4
41,Wild Meat,0.9,mwi_ihs4
42,Other Meats,0.9,assumed
43,"Sausages, bacon, ham etc",1,tza_npsw5
44,Preserved/canned meat,1,mwi_ihs4
45,Sorghum,1,mwi_ihs4
46,Fermented sorghum,1,assumed
47,Wheat (grain),1,assumed
48,Other cereals,1,assumed
49,Sorghum (flour),1,tza_npsw5
50,Wheat (flour),1,tza_npsw5
51,Millet (flour),1,tza_npsw5
52,Other flour of cereals,1,assumed
53,Biscuits,1,tza_npsw5
54,Pasta,1,tza_npsw5
55,Chicken live,0.9,mwi_ihs4
56,Frozen chicken,0.9,mwi_ihs4
57,Other domestic poultries e.g. ducks,0.9,mwi_ihs4
58,Eggs,0.95,mwi_ihs4
