item_code,item_name,food_group,alternative_group
1,Dry bean,pulses,pulses
2,Fresh bean,pulses,pulses
3,String bean,pulses,pulses
4,Groundnut flour,nuts_seeds,nuts_seeds
5,Irish potato,grains_roots_tubers,grains_roots_tubers
6,Sweet potato,grains_roots_tubers,grains_roots_tubers
7,Cassava (root),grains_roots_tubers,grains_roots_tubers
8,Tarot/amateke,grains_roots_tubers,grains_roots_tubers
9,Banana-cooking (Inyamunyo),grains_roots_tubers,grains_roots_tubers
10,Corn (flour from Mill),grains_roots_tubers,grains_roots_tubers
11,Corn (flour from Factory),grains_roots_tubers,grains_roots_tubers
12,Cassava flour (yasekuwe),grains_roots_tubers,grains_roots_tubers
13,Cassava (fermented),grains_roots_tubers,grains_roots_tubers
14,Cassava from Mill),grains_roots_tubers,grains_roots_tubers
15,Cassava from Factory),grains_roots_tubers,grains_roots_tubers
16,Local rice,grains_roots_tubers,grains_roots_tubers
17,Imported rice,grains_roots_tubers,grains_roots_tubers
18,Maize (fresh),grains_roots_tubers,grains_roots_tubers
19,Dry maize (grain),grains_roots_tubers,grains_roots_tubers
20,Tomato,other_fruit,fruit_vegetables
21,Fresh milk,dairy,dairy
22,Curdled Milk,dairy,dairy
23,Cakes/Chapati/Mandazi,grains_roots_tubers,grains_roots_tubers
24,Bread,grains_roots_tubers,grains_roots_tubers
25,Sugar (imported),misc,sugars
26,Sugar (local),misc,sugars
27,Salt,misc,others
28,Local banana beer,misc,others
29,Sorghum juice(Ubushera),misc,others
30,Local sorghum beer(ikigage),misc,others
31,Peanut oil,misc,edible_oil
32,Margarine,misc,edible_oil
33,Palm oil,misc,edible_oil
34,Other plant oils,misc,edible_oil
35,Lard of pork,misc,edible_oil
36,Beef meat,meat_poultry_fish,meat_fish_eggs
37,Sheep /Mutton / lamb meat,meat_poultry_fish,meat_fish_eggs
38,Goat meat,meat_poultry_fish,meat_fish_eggs
39,Pork meat,meat_poultry_fish,meat_fish_eggs
40,Rabbit Meat,meat_poultry_fish,meat_fish_eggs
41,Wild Meat,meat_poultry_fish,meat_fish_eggs
42,Other Meats,meat_poultry_fish,meat_fish_eggs
43,"Sausages, bacon, ham etc",meat_poultry_fish,meat_fish_eggs
44,Preserved/canned meat,meat_poultry_fish,meat_fish_eggs
45,Sorghum,grains_roots_tubers,grains_roots_tubers
46,Fermented sorghum,grains_roots_tubers,grains_roots_tubers
47,Wheat (grain),grains_roots_tubers,grains_roots_tubers
48,Other cereals,grains_roots_tubers,grains_roots_tubers
49,Sorghum (flour),grains_roots_tubers,grains_roots_tubers
50,Wheat (flour),grains_roots_tubers,grains_roots_tubers
51,Millet (flour),grains_roots_tubers,grains_roots_tubers
52,Other flour of cereals,grains_roots_tubers,grains_roots_tubers
53,Biscuits,grains_roots_tubers,grains_roots_tubers
54,Pasta,grains_roots_tubers,grains_roots_tubers
55,Chicken live,meat_poultry_fish,meat_fish_eggs
56,Frozen chicken,meat_poultry_fish,meat_fish_eggs
57,Other domestic poultries e.g. ducks,meat_poultry_fish,meat_fish_eggs
58,Eggs,eggs,meat_fish_eggs
59,Fish (fresh / frozen),meat_poultry_fish,meat_fish_eggs
60,Small Sized Fish (fresh),meat_poultry_fish,meat_fish_eggs
61,Fish (dry / smoked),meat_poultry_fish,meat_fish_eggs
62,Small Sized Fish (dry),meat_poultry_fish,meat_fish_eggs
63,Preserved/canned fish,meat_poultry_fish,meat_fish_eggs
64,Condensed milk unsweetened,dairy,dairy
65,Milk powder,dairy,dairy
66,Yogurt,dairy,dairy
67,Ice cream,dairy,dairy
68,Cheese,dairy,dairy
69,Butter (local),dairy,dairy
70,Butter (imported),dairy,dairy
71,Banana fruit (Imineke),other_fruit,fruit_vegetables
72,Banana - beer (Ikakama/Inkashi),misc,others
73,Mangos,vita_fruit_veg,vita_fruit_veg
74,Papayas,vita_fruit_veg,vita_fruit_veg
75,Avocado,other_fruit,fruit_vegetables
76,Pineapple,other_fruit,fruit_vegetables
77,Guava,other_fruit,fruit_vegetables
78,Orange (local),other_fruit,fruit_vegetables
79,Orange (imported),other_fruit,fruit_vegetables
80,Tangerine,other_fruit,fruit_vegetables
81,Citron - Lemon,other_fruit,fruit_vegetables
82,Passion Fruit,vita_fruit_veg,vita_fruit_veg
83,Plums,other_fruit,fruit_vegetables
84,Berries,other_fruit,fruit_vegetables
85,Apples,other_fruit,fruit_vegetables
86,Other fruits,other_fruit,fruit_vegetables
87,Soya Flour,pulses,pulses
88,Sunflower flour,nuts_seeds,nuts_seeds
89,Ground nuts (peanuts),nuts_seeds,nuts_seeds
90,Grilled ground nuts,nuts_seeds,nuts_seeds
91,Soya (fresh),pulses,pulses
92,Soya (dry),pulses,pulses
93,Green pea (fresh),pulses,pulses
94,Green pea (dry),pulses,pulses
95,Onion,other_veg,fruit_vegetables
96,Garlic,other_veg,fruit_vegetables
97,Pumpkin,vita_fruit_veg,vita_fruit_veg
98,Cucumber,other_veg,fruit_vegetables
99,Eggplant,other_veg,fruit_vegetables
