item_code,item_name,Assumptions,Nutrient source,Nutrient source ID ,Food_name_FCT,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg,edible_portion,edp_source
1,Dry bean,"Assumed kidney bean-""common"" bean (Phaseolus vulgaris L.) seems to be the most common  ",,,"Beans, kidney, dry, raw",305,1,0.35,0.18,2.4,272,0,6.4,2.78,1,WAFCT 2019
2,Fresh bean,"Assumed broad bean. Was looking and apparently the ""common bean"" is one of the more commonly consumed beans in Rwanda-can't find a match in KFCT or WAFCT ",KFCT 2018,3002,"Beans, broad, fresh, raw ",82,16,0.12,0.14,2,284,0,1.6,1.1,1,WAFCT 2019
3,String bean,,WAFCT 2019,04_003,"Bean, green, raw",40,38,0.11,0.1,0.8,36,0,1.2,0.2,0.92,WAFCT 2019
4,Groundnut flour,,WAFCT 2019,06_027,"Groundnut flour, with fat",579,2,0.39,0.14,9.9,110,0,3.5,2.8,1,WAFCT 2019
5,Irish potato,,KFCT 2018,2009,"Potato, Irish(English), white variety, peeled, raw ",105,0,1,1,1,15,0,1.4,0.32,0.85,KFCT 2018
6,Sweet potato,Average,KFCT 2018,Average,Sweet potato,92,4.5,7.00E-02,0.03,0.75,15,0,0.7,0.21,0.84,Average 
7,Cassava (root),Assumed white cassava ,KFCT 2018,2007,"Cassava, root, white, peeled, raw ",173,1,0.23,0.01,0.4,73,0,0.9,0.34,0.93,KFCT 2018
8,Tarot/amateke,,KFCT 2018,2016,"Taro, peeled, raw",97,3,0.1,0.03,0.7,22,0,0.7,0.6,0.9,KFCT 2018
9,Banana-cooking (Inyamunyo),,KFCT 2018,2004,"Banana, plantain, green, raw",97,0,0.06,0.04,0.33,19,0,0.8,0.23,0.5,KFCT 2018
10,Corn (flour from Mill),,KFCT 2018,1017,"Cornflour, from maize starch",355,0,0.02,0,0.2,1,0,0.7,0.2,1,KFCT 2018
11,Corn (flour from Factory),"used same values for cornflour, consider fortified? ",KFCT 2018,1017,"Cornflour, from maize starch",355,0,0.02,0,0.2,1,0,0.7,0.2,1,KFCT 2018
12,Cassava flour (yasekuwe),,KFCT 2018,15011,Cassava Flour Ugali,186,1,0.03,0.05,0.6,18,0,0.8,0.41,1,KFCT 2018
13,Cassava (fermented),,WAFCT 2019,02_041,"Cassava, fermented paste from white cassava flour (wet fufu)",165,0,0.04,0.03,0.8,69,0.6,0.9,0.56,1,WAFCT 2019
14,Cassava from Mill),,WAFCT 2019,02_038,"Cassava, flour, from fermented white cassava",344,0,0.1,0.08,1.7,140,1,3.4,0.47,1,WAFCT 2019
15,Cassava from Factory),,WAFCT 2019,02_038,"Cassava, flour, from fermented white cassava",344,0,0.1,0.08,1.7,140,1,3.4,0.47,1,WAFCT 2019
16,Local rice,Used same values for local and imported rice ,KFCT 2018,1034,"Rice, white, milled, polished grain, dry, raw",353,0,0.07,0.11,1.1,9,0,0.9,1.32,1,KFCT 2018
17,Imported rice,,KFCT 2018,1034,"Rice, white, milled, polished grain, dry, raw",353,0,0.07,0.11,1.1,9,0,0.9,1.32,1,KFCT 2018
18,Maize (fresh),,KFCT 2018,1023,"Green Maize, white, whole, grain, fresh, raw",157,8,0.18,0.1,1.55,78,0,1.2,1.95,0.68,KFCT 2018
19,Dry maize (grain),Flagging-CO can confirm if white or yellow maize is more common (some mn differences between the two) from a quick search it seems that white might be more common? ,KFCT 2018,1018,"Maize, grain, white variety, whole, dry, raw",345,0,0.25,0.1,2,71,0,2.6,1.88,1,KFCT 2018
20,Tomato,,KFCT 2018,4036,"Tomato, red, ripe, raw",22,26,0.04,0.04,0.5,25,0,0.9,0.37,0.98,KFCT 2018
21,Fresh milk,,KFCT 2018,6029,"Milk, cow, whole, fresh, boiled",82,47,0,0.3,0,8,1,0.1,0.74,1,KFCT 2018
22,Curdled Milk,Ask CO ,KFCT 2018,6021,"Milk, cow, whole, fermented (Lala-mursik)",58,41,0,0.27,0,0,0.1,0.1,0.22,1,KFCT 2018
23,Cakes/Chapati/Mandazi,,KFCT 2018,1012,"Cake or cupcake, plain butter cake, commercial",363,50,0.06,0.14,0.7,9,0.15,1,0.5,1,KFCT 2018
24,Bread,,KFCT 2018,"100,510,061,007","Bread, white, brown , sweet",287.3,24.7,0.193,0.077,3.167,32.667,0.117,2.07,0.97,1,KFCT 2018
25,Sugar (imported),,KFCT 2018,11003,"Sugar, white, granulated or lump",400,0,0,0,0,0,0,0,0,1,KFCT 2018
26,Sugar (local),,KFCT 2018,11003,"Sugar, white, granulated or lump",400,0,0,0,0,0,0,0,0,1,KFCT 2018
27,Salt,,KFCT 2018,13027,"Salt, Iodized",0,0,0,0,0,0,0,0.1,0.1,1,KFCT 2018
28,Local banana beer,"Assumed local beer from WAFCT, ask CO",WAFCT 2019,12_003,"Traditional beers and wines (soumsoum, sung, palm wine, cashew wine, etc.)",43,0,0.02,0.04,0.4,6,0,0.6,0.07,1,WAFCT 2019
29,Sorghum juice(Ubushera),,KFCT 2018,1037,"Sorghum, Grain, Red, Dried, Raw",336,0,0.24,0.11,3.3,64,0,3,1.97,1,KFCT 2018
30,Local sorghum beer(ikigage),,WAFCT 2019,12_004,"Beer, sorghum (ca. 3% v/v alcohol)",27,0,0.04,0.05,0.5,6,0,0.2,0.07,1,WAFCT 2019
31,Peanut oil,,KFCT 2018,9009,Peanut oil,900,0,0,0,0,0,0,0.1,0.1,1,KFCT 2018
32,Margarine,,KFCT 2018,9006,"Margarine, 80% fat",748,819,0,0,0,1,0.06,0,0,1,KFCT 2018
33,Palm oil,Assuming refined-can be changed to unrefined or weighted average depending on feedback from CO ,WAFCT 2019,11_007,"Palm oil, refined and decoloured, unfortified ",900,0,0,0,0,0,0,0.2,0,1,WAFCT 2019
34,Other plant oils,Assumed soya bean oil,KFCT 2018,9012,Soya bean oil,900,3,0,0,0,0,0,0,0,1,KFCT 2018
35,Lard of pork,Matched to animal fat lard unlikely to be a large mn difference between animal fat lard vs. pork lard,KFCT 2018,9001,Animal fat/lard,890,0,0,0,0,0,0,0.1,0.11,1,KFCT 2018
36,Beef meat,,KFCT 2018,7004,"Beef, medium fat, w/o bones, raw",151,10,0,0.21,4.4,2,1.9,12.4,3.85,0.9,KFCT 2018
37,Sheep /Mutton / lamb meat,,KFCT 2018,7049,"Lamb, raw (unspecified part) ",269,0,0.12,0.23,6.1,18,2.39,1.7,3.33,1,KFCT 2018
38,Goat meat,,KFCT 2018,7016,"Goat, medium fat, raw",166,18,0.16,0.18,3.7,1,2.34,1.9,3.26,0.74,KFCT 2018
39,Pork meat,Curious if the edible portion would really be 1? Could alternatively match to WAFCT,KFCT 2018,7020,"Pork, meat, raw (unspecified part)",286,0,0.63,0.17,3.8,4,0.6,1.1,1.59,1,KFCT 2018
40,Rabbit Meat,Edible portion of 1? Could potentially match to USDA for edible portion,KFCT 2018,7021,"Rabbit meat, raw",151,10,0.46,0.06,7.5,11,5.3,1,1.6,1,KFCT 2018
41,Wild Meat,Flagging-likely bushmeat? I assumed rabbit again (probably similar) ,KFCT 2018,7021,"Rabbit meat, raw",151,10,0.46,0.06,7.5,11,5.3,1,1.6,1,KFCT 2018
42,Other Meats,Average of meats in the category,Average,Average,Average,195.6666667,8,0.305,0.151666667,5.5,7.833333333,2.971666667,3.183333333,2.538333333,0.94,Average 
43,"Sausages, bacon, ham etc",,KFCT 2018,7025,"Sausage, pork, raw",343,26,0.04,0.12,2.7,21,0.6,1.1,1.7,1,KFCT 2018
44,Preserved/canned meat,Current is an average of canned sausage and canned beef,Assumed,Assumed,"Charcuterie (ham, sausage), canned meats",258.67,6,0.23,0.12,4.62,6.33,1.7,1.21,1.71,1,Assumed
45,Sorghum,,KFCT 2018,1039,"Sorghum, grain, white, flour",341,1,0.24,0.11,3.3,64,0,6.4,1.69,1,KFCT 2018
46,Fermented sorghum,,KFCT 2018,1037,"Sorghum, Grain, Red, Dried, Raw",336,0,0.24,0.11,3.3,64,0,3,1.97,1,KFCT 2018
47,Wheat (grain),,KFCT 2018,1045,"Wheat, whole, grain, dry, raw",328,0,0.43,0.14,2.7,0,0,4.9,3,1,KFCT 2018
