food_group_original,food_group_FCS,food_group,item_code,name_fra,name_eng,edible_portion,source,itemcode_sen,itemcode_civ,itemcode_bfa,itemcode_gnb,itemcode_ben,itemcode_mli,itemcode_ner,itemcode_tgo
Cereals and Bread,Main staples,grains_roots_tubers,1,Riz local brisé,Broken local rice,1,WAFCT_2019,1,1,1,1,1,1,1,1
Cereals and Bread,Main staples,grains_roots_tubers,2,Riz local entier,Whole local rice,1,WAFCT_2019,2,2,2,2,2,2,2,2
Cereals and Bread,Main staples,grains_roots_tubers,3,Riz importé brisé,Broken imported rice,1,WAFCT_2019,3,3,3,3,3,3,3,3
Cereals and Bread,Main staples,grains_roots_tubers,4,Riz importé entier,Whole imported rice,1,WAFCT_2019,4,4,4,4,4,4,4,4
Cereals and Bread,Main staples,grains_roots_tubers,5,Maïs en épi,Corn on the cob,0.36,X(USDA),5,5,5,5,5,5,5,5
Cereals and Bread,Main staples,grains_roots_tubers,6,Maïs en grain,Corn grain,1,WAFCT_2019,6,6,6,6,6,6,6,6
Cereals and Bread,Main staples,grains_roots_tubers,7,Mil,Millet,1,WAFCT_2019,7,7,7,7,7,7,7,7
Cereals and Bread,Main staples,grains_roots_tubers,8,Sorgho,Sorghum,1,WAFCT_2019,8,8,8,8,8,8,8,8
Cereals and Bread,Main staples,grains_roots_tubers,9,Blé,Wheat,1,WAFCT_2019,9,9,9,9,9,9,9,9
Cereals and Bread,Main staples,grains_roots_tubers,10,Fonio,Fonio,1,WAFCT_2019,10,10,10,10,10,10,10,10
Cereals and Bread,Main staples,grains_roots_tubers,11,Autres céréales,Other cereals,1,WAFCT_2019,11,11,11,11,11,11,11,11
Cereals and Bread,Main staples,grains_roots_tubers,12,Farine de maïs,Corn flour,1,WAFCT_2019,12,12,12,12,12,12,12,12
Cereals and Bread,Main staples,grains_roots_tubers,13,semoule de mais,Corn semolina,1,WAFCT_2019,13,13,13,13,13,13,13,13
Cereals and Bread,Main staples,grains_roots_tubers,14,Farine/semoule de mil,Millet flour/semolina,1,WAFCT_2019,14,14,14,14,14,14,14,14
Cereals and Bread,Main staples,grains_roots_tubers,15,semoule de mil,Millet semolina,1,WAFCT_2019,15,15,15,15,15,15,15,15
Cereals and Bread,Main staples,grains_roots_tubers,16,Farine de blé local ou importé,Local or imported wheat flour,1,WAFCT_2019,16,16,16,16,16,16,16,16
Cereals and Bread,Main staples,grains_roots_tubers,17,semoule de blé,Wheat semolina,1,WAFCT_2019,17,17,17,17,17,17,17,17
Cereals and Bread,Main staples,grains_roots_tubers,18,Autres farines de céréales,Other cereal flours,1,WAFCT_2019,18,18,18,18,18,18,18,18
Cereals and Bread,Main staples,grains_roots_tubers,19,Autres semoules de céréales,Other cereal semolina,1,WAFCT_2019,19,19,19,19,19,19,19,19
Cereals and Bread,Main staples,grains_roots_tubers,20,Pâtes alimentaires,Pasta,1,WAFCT_2019,20,20,20,20,20,20,20,20
Cereals and Bread,Main staples,grains_roots_tubers,21,Pain moderne,Modern bread,1,WAFCT_2019,21,21,21,21,21,21,21,21
Cereals and Bread,Main staples,grains_roots_tubers,22,Pain traditionnel,Traditional bread,1,WAFCT_2019,22,22,22,22,22,22,22,22
Cereals and Bread,Main staples,grains_roots_tubers,169,Céréales de petit déjeuner,Breakfast cereals,1,WAFCT_2019,169,169,,169,,,,
Cereals and Bread,Main staples,misc,23,Croissants,Croissants,1,WAFCT_2019,23,23,23,23,23,23,23,23
Cereals and Bread,Main staples,misc,24,Biscuits,Biscuits,1,WAFCT_2019,24,24,24,24,24,24,24,24
Cereals and Bread,Main staples,misc,25,Gâteaux,Cakes,1,WAFCT_2019,25,25,25,25,25,25,25,25
Cereals and Bread,Main staples,grains_roots_tubers,26,"Beignets, galettes","Fritters, pancakes",1,WAFCT_2019,26,26,26,26,26,26,26,26
Meat,Meat_Fish,meat_poultry_fish,27,Viande de boeuf,Beef meat,1,WAFCT_2019,27,27,27,27,27,27,27,27
Meat,Meat_Fish,meat_poultry_fish,28,Viande de chameau,Camel meat,1,WAFCT_2019,28,28,28,28,28,28,28,28
Meat,Meat_Fish,meat_poultry_fish,29,Viande de mouton,Mutton,1,WAFCT_2019,29,29,29,29,29,29,29,29
Meat,Meat_Fish,meat_poultry_fish,30,Viande de chèvre,Goat meat,0.66,WAFCT_2019,30,30,30,30,30,30,30,30
Meat,Meat_Fish,meat_poultry_fish,31,"Abats rouges (foie, rognon, poumon, coeur, rate, etc.)",Red offals ,0.9628,X(AVERAGE),31,31,31,31,31,31,31,31
Meat,Meat_Fish,meat_poultry_fish,170,"Abats blancs (pieds, tête, etc.) et tripes (estomac, intestins,",White offals ,0.9628,X(AVERAGE),170,170,,170,,,,
Meat,Meat_Fish,meat_poultry_fish,32,Viande de porc,Pork,1,WAFCT_2019,32,32,32,32,32,32,32,32
Meat,Meat_Fish,meat_poultry_fish,33,Poulet sur pied,Live chicken,1,WAFCT_2019,33,33,33,33,33,33,33,33
Meat,Meat_Fish,meat_poultry_fish,171,Autre volaille sur pied,Other live poultry,1,WAFCT_2019,171,171,,171,,,,
Meat,Meat_Fish,meat_poultry_fish,34,Viande de poulet,Chicken meat,1,WAFCT_2019,34,34,34,34,34,34,34,34
Meat,Meat_Fish,meat_poultry_fish,35,Viande d'autres volailles domestiques,Other domestic poultry meat,0.77,X(AVERAGE),35,35,35,35,35,35,35,35
Meat,Meat_Fish,meat_poultry_fish,36,"Charcuterie (jambon, saucisson), conserves de viandes",Charcuterie ,1,X(AVERAGE),36,36,36,36,36,36,36,36
Meat,Meat_Fish,meat_poultry_fish,37,"Viande séchée (boeuf, mouton, chameau)",Dried meat ,1,WAFCT_2019,37,37,37,37,37,37,37,37
Meat,Meat_Fish,meat_poultry_fish,38,Gibiers,Game meat,1,WAFCT_2019,38,38,38,38,38,38,38,38
Meat,Meat_Fish,meat_poultry_fish,39,Autres viandes n.d.a.,Other unspecified meat,0.74,X(AVERAGE),39,39,39,39,39,39,39,39
Fish and Seafood,Meat_Fish,meat_poultry_fish,40,Poisson frais yaboye ou obo (sardinelle),Fresh Sardine ,0.82,WAFCT_2019,40,40,40,40,40,40,40,40
Fish and Seafood,Meat_Fish,meat_poultry_fish,41,Poisson frais thiof/ seudeu (baracouda),Fresh Barracuda ,0.64,WAFCT_2019,41,41,41,41,41,41,41,41
Fish and Seafood,Meat_Fish,meat_poultry_fish,42,Poisson frais wass,Fresh Wass,0.52,WAFCT_2019,42,42,42,42,42,42,42,42
Fish and Seafood,Meat_Fish,meat_poultry_fish,43,"Autre Poisson frais (dorade, youfouf, rouget, siket [capitaine], thiarumbekh [mollette], …..)",Other Fresh Fish ,0.47,X(AVERAGE),43,43,43,43,43,43,43,43
Fish and Seafood,Meat_Fish,meat_poultry_fish,44,Poisson fumé Kethiakh (sardinelle),Smoked Sardine ,0.43,WAFCT_2019,44,44,44,44,44,44,44,44
Fish and Seafood,Meat_Fish,meat_poultry_fish,45,"Autre Poisson fumé (yaboye ou obo fumé, …)",Other Smoked Fish ,0.66,WAFCT_2019,45,45,45,45,45,45,45,45
Fish and Seafood,Meat_Fish,meat_poultry_fish,172,Con fumé,Smoked Con,0.66,WAFCT_2019,172,172,,172,,,,
Fish and Seafood,Meat_Fish,meat_poultry_fish,46,Poisson séché,Dried Fish,1,WAFCT_2019,46,46,46,46,46,46,46,46
Fish and Seafood,Meat_Fish,meat_poultry_fish,47,Crabes,Crabs,0.2,WAFCT_2019,47,47,47,47,47,47,47,47
Fish and Seafood,Meat_Fish,meat_poultry_fish,48,Crevettes fraiches,Fresh Shrimp,0.57,WAFCT_2019,48,48,48,48,48,48,48,48
Fish and Seafood,Meat_Fish,meat_poultry_fish,49,Crevettes séchées,Dried Shrimp,1,WAFCT_2019,49,49,49,49,49,49,49,49
Fish and Seafood,Meat_Fish,meat_poultry_fish,173,Escargots,Snails,0.65,WAFCT_2019,173,173,,173,,,,
